human_doc_type,topic_cluster,topic_size,topic_keywords,topic_prob,doc_id,sha256,rel_path,docform_cluster,clean_len,preview,topic_label_human,topic_keep,topic_notes
email_blackmail_social,0,30,"2014, 19 2014, sep 19, 2014 at, sep, 19, on sep, on, kathy, ruemmler, pm kathy, kathy ruemmler, pm, fri sep, wrote",1.0,1d6c9e15b0832161c82afe51,1d6c9e15b0832161c82afe51179ad5c8111b518243625eff872561877651775c,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_023418.txt,c0005,682,"From: Kathy Ruemmler \r
Sent: 9/20/2014 2:37:36 AM \r
To: jeffrey E. [jeeyacation@gmail.com] \r
Subject: Re: Fwd: \r
Importance: High \r
Did you read David Brooks today? \r
On Sep 19, 2014 9:58 PM, ""Kathy Ruemmler"" < \r
I will try. \r
On Sep 19, 2014 8:52 PM, ""jeffrey E."" <jeevacation@gmail.com> wrote: \r
try to get a good night sleep. see you sunday \r
> wrote: \r
On Fri, Sep 19, 2014 at 8:48 PM,",,,
email_blackmail_social,0,30,"2014, 19 2014, sep 19, 2014 at, sep, 19, on sep, on, kathy, ruemmler, pm kathy, kathy ruemmler, pm, fri sep, wrote",1.0,c222eec468af4766a7f426b3,c222eec468af4766a7f426b3719f95f88d8df640f9d33a50377838f5bc9366ca,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_026345.txt,c0005,551,"From: jeffrey E. [jeevacation@gmail.com] \r
Sent: 10/15/2014 12:23:42 AM \r
To: Kathy Ruemmler _______________________________ \r
Subject: Re: Obama Favoring Former White House Counsel Kathryn Ruemmler to Succeed Holder as Attorney General - \r
Bloomberg \r
Importance: High \r
ok \r
On Tue, Oct 14, 2014 at 8:22 PM, Kathy Ruemmler < > wrote: \r
I'm almost home. Call there in 10? \r
On Oct 14, 2014 ",,,
email_blackmail_social,0,30,"2014, 19 2014, sep 19, 2014 at, sep, 19, on sep, on, kathy, ruemmler, pm kathy, kathy ruemmler, pm, fri sep, wrote",1.0,1030d1b6cc8978771c34e5e7,1030d1b6cc8978771c34e5e70fb72c0fe8e775dd96a91d7ff9d2fdb2409f5585,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_023429.txt,c0005,675,"From: Lisa New \r
Sent: 9/24/2014 12:25:39 AM \r
To: jeffrey E. [jeeyacation@gmail.com] \r
Subject: Re: Highlight \r
Importance: High \r
Jeffrey, if you are conceding any bit of the other things , with all due respect, that's exciting, as its new for me \r
to be right about anything in the area of budgets. \r
As it happens,and as of today, there is huge dissatisfaction in public television world w",,,
email_blackmail_social,0,30,"2014, 19 2014, sep 19, 2014 at, sep, 19, on sep, on, kathy, ruemmler, pm kathy, kathy ruemmler, pm, fri sep, wrote",1.0,5c08ac202559726664dd414f,5c08ac202559726664dd414fcd8014df94a00102609e043708201fa2de5530ae,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_028854.txt,c0005,677,"From: Kathy Ruemmler \r
Sent: 9/19/2014 11:54:57 AM \r
To: jeffrey E. [jeeyacation@gmail.com] \r
Subject: Re: \r
Importance: High \r
Doesn't look like you are prioritizing your schedule very effectively.....how are you going to manage all of \r
that? this is unga week so the boss will be in town too.....I'll be here all week -- you may get sick of me....just \r
sat down on the train so can't talk ",,,
email_blackmail_social,0,30,"2014, 19 2014, sep 19, 2014 at, sep, 19, on sep, on, kathy, ruemmler, pm kathy, kathy ruemmler, pm, fri sep, wrote",1.0,ca6bbb50e5b09fff0971e95d,ca6bbb50e5b09fff0971e95d128ef3ceafa677bf32db961733e6041be25b01f7,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_028859.txt,c0005,680,"From: Kathy Ruemmler \r
Sent: 9/19/2014 6:59:27 PM \r
To: jeffrey E. [jeeyacation@gmail.com] \r
Subject: Re: \r
Importance: High \r
Yep. And now he is a repeat offender. \r
On Sep 19, 2014 2:58 PM, ""jeffrey E."" <jeevacation@gmail.com> wrote: \r
and thats after turning down misdeameors? whoops \r
On Fri, Sep 19, 2014 at 2:57 PM, Kathy Ruemmler <=1111> wrote: \r
Reid's guy went down on all 7 counts.",,,
email_blackmail_social,0,30,"2014, 19 2014, sep 19, 2014 at, sep, 19, on sep, on, kathy, ruemmler, pm kathy, kathy ruemmler, pm, fri sep, wrote",1.0,fd10fe58f9d02f6cb539103d,fd10fe58f9d02f6cb539103d84f822712be0b650e3b8ae1d368dd138a43f2b67,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_025814.txt,c0005,631,"Date: Friday, September 19 2014 09:23 PM \r
Subject: Re: Fwd: \r
From: Kathy Ruemmler \r
To: jeffrey E. <jeevacation@gmail.com>; \r
I don't want to give up my apartment in NY \r
On Sep 19, 2014 5:18 PM, ""Kathy Ruemmler"" wrote: \r
Good advice. \r
On Sep 19, 2014 5:15 PM, ""jeffrey E."" <jeevacation@gmail.com> wrote: \r
lets see how you feel sunday \r
On Fri, Sep 19, 2014 at 5:12 PM, Kathy Ruemmler \r",,,
email_blackmail_social,0,30,"2014, 19 2014, sep 19, 2014 at, sep, 19, on sep, on, kathy, ruemmler, pm kathy, kathy ruemmler, pm, fri sep, wrote",1.0,406870fa9c3eed79237bb230,406870fa9c3eed79237bb230e1c8641c9a361612b8dae30bf0fdb8065efa0864,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_028847.txt,c0005,625,"From: Joi Ito [ \r
Sent: 4/27/2014 2:34:04 PM \r
To: Jeffrey Epstein [jeevacation@gmail.com] \r
Subject: Re: NYTimes: Sanctions Revive Search for Secret Putin Fortune \r
Importance: High \r
Flying to LA. Will try to call when I land.11AM Pacific or so. \r
Sent from my iPad \r
On Apr 27, 2014, at 7:41, Jeffrey Epstein <jeevacation@gmail.com> wrote: \r
if you havetime \r
On Sun, Apr 27, 2014 at 6:54",,,
email_blackmail_social,0,30,"2014, 19 2014, sep 19, 2014 at, sep, 19, on sep, on, kathy, ruemmler, pm kathy, kathy ruemmler, pm, fri sep, wrote",0.9965518244692155,d1370788aa780e59314eccb2,d1370788aa780e59314eccb228112d8d71a50c2dbdf336d53285178f7fa3cf35,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_028848.txt,c0005,599,"From: Joi Ito \r
Sent: 4/27/2014 6:55:07 PM \r
To: Epstein Jeffrey [jeevacation@gmail.com] \r
Subject: Re: NYTimes: Sanctions Revive Search for Secret Putin Fortune \r
Attachments: signature.asc \r
Importance: High \r
Can you talk now? \r
On Apr 27, 2014, at 04:41 , Jeffrey Epstein <jeevacation@gmail.com> wrote: \r
if you havetime \r
> • On Sun, Apr 27, 2014 at 6:54 AM, Joi Ito < wrote: \r
> • Pre",,,
email_blackmail_social,0,30,"2014, 19 2014, sep 19, 2014 at, sep, 19, on sep, on, kathy, ruemmler, pm kathy, kathy ruemmler, pm, fri sep, wrote",0.9872560343307538,d49013aeab93922dd606f272,d49013aeab93922dd606f272407397c9440d7d64faa488cfb4e3debcc911423c,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_029204.txt,c0005,648,"From: Jeffrey Epstein [jeevacation@gmail.com] \r
Sent: 4/27/2014 6:58:54 PM \r
To: Joi Ito \r
Subject: Re: NYTimes: Sanctions Revive Search for Secret Putin Fortune \r
On Sunday, April 27, 2014, Joi Ito < wrote: \r
Can you talk now? \r
On Apr 27, 2014, at 04:41 , Jeffrey Epstein <jeevacation@gmail.com> wrote: \r
if you havetime \r
> On Sun, Apr 27, 2014 at 6:54 AM, Joi Ito < wrote: \r
> President ",,,
email_blackmail_social,0,30,"2014, 19 2014, sep 19, 2014 at, sep, 19, on sep, on, kathy, ruemmler, pm kathy, kathy ruemmler, pm, fri sep, wrote",0.9452623017137116,9f1615fc532332f8ba490bc3,9f1615fc532332f8ba490bc30ea0e1a27b87741d352883a7ea8c32ee1afd56f5,TEXT-20251116T222102Z-1-001/TEXT/001/HOUSE_OVERSIGHT_028850.txt,c0005,599,"From: Joi Ito \r
Sent: 4/27/2014 6:57:02 PM \r
To: Epstein Jeffrey [jeevacation@gmail.com] \r
Subject: Re: NYTimes: Sanctions Revive Search for Secret Putin Fortune \r
Attachments: signature.asc \r
Importance: High \r
Calling you from a 310 #... \r
On Apr 27, 2014, at 04:41 , Jeffrey Epstein <jeevacation@gmail.com> wrote: \r
if you havetime \r
> • On Sun, Apr 27, 2014 at 6:54 AM, Joi Ito wrote: \r",,,
